Time,Speed,Device Battery,Car Battery,Ignition,Address
"08-Sep-2026 16:47:31","1.16","4.11","13.23","Off","12.930934,77.745247",
"08-Sep-2026 16:47:31","1.36","4.11","13.23","Off","12.930887,77.745221",
"08-Sep-2026 16:47:36","1.36","4.11","13.23","On","12.930887,77.745221",
"08-Sep-2026 16:47:41","1.36","4.11","13.35","On","12.930887,77.745221",
"08-Sep-2026 16:48:41","1.55","4.11","13.98","On","12.930818,77.745127",
"08-Sep-2026 16:49:11","5.26","4.11","13.98","On","12.930833,77.74511",
"08-Sep-2026 16:49:15","19.55","4.11","13.98","On","12.930879,77.744983",
"08-Sep-2026 16:49:25","8.9","4.11","13.98","On","12.931118,77.744497",
"08-Sep-2026 16:49:30","15.47","4.11","13.98","On","12.931249,77.74453",
"08-Sep-2026 16:49:40","14.13","4.11","13.98","On","12.931512,77.744612",
"08-Sep-2026 16:49:41","7.22","4.11","13.95","On","12.931586,77.744666",
"08-Sep-2026 16:49:45","10.83","4.11","13.95","On","12.931683,77.744667",
"08-Sep-2026 16:49:50","10.81","4.11","13.95","On","12.931781,77.744575",
"08-Sep-2026 16:49:55","11.55","4.11","13.95","On","12.931877,77.744536",
"08-Sep-2026 16:50:00","19.35","4.11","13.95","On","12.932081,77.744436",
"08-Sep-2026 16:50:10","13.71","4.11","13.95","On","12.93234,77.7443",
"08-Sep-2026 16:50:11","13.71","4.11","13.91","On","12.93234,77.7443",
"08-Sep-2026 16:50:15","17.61","4.11","13.91","On","12.932454,77.744343",
"08-Sep-2026 16:50:20","14.62","4.11","13.91","On","12.932602,77.74421",
"08-Sep-2026 16:50:25","16.36","4.11","13.91","On","12.9327,77.744263",
"08-Sep-2026 16:50:30","17.54","4.11","13.91","On","12.933021,77.744438",
"08-Sep-2026 16:50:41","2.52","4.11","13.93","On","12.933477,77.744602",
"08-Sep-2026 16:50:50","13.65","4.11","13.93","On","12.933705,77.744689",
"08-Sep-2026 16:50:55","20.5","4.11","13.93","On","12.93376,77.744534",
"08-Sep-2026 16:51:10","16.5","4.11","13.93","On","12.934235,77.743867",
"08-Sep-2026 16:51:11","16.5","4.11","13.88","On","12.934235,77.743867",
"08-Sep-2026 16:51:15","13.93","4.11","13.88","On","12.934361,77.743823",
"08-Sep-2026 16:51:30","17.66","4.11","13.88","On","12.934325,77.743387",
"08-Sep-2026 16:51:41","32.02","4.11","13.88","On","12.933836,77.743167",
"08-Sep-2026 16:52:11","37.07","4.11","13.93","On","12.930851,77.741233",
"08-Sep-2026 16:52:35","1.94","4.11","13.93","On","12.929825,77.740452",
"08-Sep-2026 16:52:41","4.62","4.11","13.88","On","12.929816,77.740424",
"08-Sep-2026 16:52:45","21.73","4.11","13.88","On","12.929825,77.740297",
"08-Sep-2026 16:53:11","2.28","4.11","13.91","On","12.930156,77.739367",
"08-Sep-2026 16:53:41","1.4","4.11","13.91","On","12.930178,77.739362",
"08-Sep-2026 16:54:11","1.68","4.11","13.93","On","12.930186,77.739337",
"08-Sep-2026 16:54:41","2.75","4.11","13.91","On","12.93021,77.739341",
"08-Sep-2026 16:54:50","7.94","4.11","13.91","On","12.930242,77.739297",
"08-Sep-2026 16:55:11","0.1","4.11","13.91","On","12.930492,77.73875",
"08-Sep-2026 16:55:30","20.81","4.11","13.91","On","12.930507,77.73851",
"08-Sep-2026 16:55:35","17.69","4.11","13.91","On","12.930504,77.738187",
"08-Sep-2026 16:55:40","19.22","4.11","13.91","On","12.930315,77.738123",
"08-Sep-2026 16:55:41","19.22","4.11","13.91","On","12.930315,77.738123",
"08-Sep-2026 16:55:45","19.24","4.11","13.91","On","12.930124,77.738037",
"08-Sep-2026 16:55:50","20.47","4.11","13.91","On","12.930137,77.737837",
"08-Sep-2026 16:56:00","22.43","4.11","13.91","On","12.930041,77.737453",
"08-Sep-2026 16:56:11","4.17","4.11","13.91","On","12.929473,77.737313",
"08-Sep-2026 16:56:15","16.08","4.11","13.91","On","12.929371,77.737276",
"08-Sep-2026 16:56:20","16.35","4.11","13.91","On","12.929324,77.737126",
"08-Sep-2026 16:56:30","19.99","4.11","13.91","On","12.92946,77.736755",
"08-Sep-2026 16:56:35","24.36","4.11","13.91","On","12.9299,77.736736",
"08-Sep-2026 16:56:41","20.63","4.11","13.91","On","12.930135,77.736773",
"08-Sep-2026 16:56:50","9.29","4.11","13.91","On","12.93043,77.736851",
"08-Sep-2026 16:57:10","13.97","4.11","13.91","On","12.931253,77.737438",
"08-Sep-2026 16:57:11","10.83","4.11","13.91","On","12.93121,77.73755",
"08-Sep-2026 16:57:41","0.99","4.11","13.93","On","12.931149,77.737792",
"08-Sep-2026 16:58:11","0.82","4.11","13.62","Off","12.931164,77.73781",
"08-Sep-2026 16:58:41","0.32","4.11","13.52","Off","12.931176,77.737803",
"08-Sep-2026 16:59:11","0.36","4.11","13.47","Off","12.931173,77.737796",
"08-Sep-2026 16:59:41","2.16","4.11","13.47","Off","12.93118,77.737779",
"08-Sep-2026 17:00:04","2.16","4.11","13.42","Off","12.93118,77.737779",
"08-Sep-2026 17:00:29","1.68","4.11","13.42","Off","12.931238,77.73775",
"08-Sep-2026 17:00:41","1.9","4.11","13.4","Off","12.931257,77.737779",
"08-Sep-2026 17:01:11","0.41","4.11","13.38","Off","12.931295,77.737798",
"08-Sep-2026 17:02:11","0.99","4.11","13.33","Off","12.93132,77.737782",
"08-Sep-2026 17:03:11","3.57","4.11","13.28","Off","12.931277,77.737742",
"08-Sep-2026 17:04:04","3.57","4.11","13.26","Off","12.931277,77.737742",
"08-Sep-2026 17:06:22","3.57","4.11","13.26","Off","12.931277,77.737742",
"08-Sep-2026 17:06:22","2.81","4.11","13.26","Off","12.931189,77.737745",
"08-Sep-2026 17:07:41","7.48","4.11","13.71","On","12.931114,77.73774",
"08-Sep-2026 17:07:46","13.58","4.11","13.71","On","12.931129,77.737905",
"08-Sep-2026 17:08:01","15.9","4.11","13.71","On","12.931245,77.738383",
"08-Sep-2026 17:08:11","20.8","4.11","13.91","On","12.931609,77.738734",
"08-Sep-2026 17:08:16","10.53","4.11","13.91","On","12.931617,77.738857",
"08-Sep-2026 17:08:26","11.45","4.11","13.91","On","12.931559,77.739064",
"08-Sep-2026 17:08:31","22.35","4.11","13.91","On","12.931384,77.7391",
"08-Sep-2026 17:08:41","19.81","4.11","13.91","On","12.930826,77.739242",
"08-Sep-2026 17:08:46","18.14","4.11","13.91","On","12.930606,77.739191",
"08-Sep-2026 17:08:56","15.91","4.11","13.91","On","12.930329,77.739255",
"08-Sep-2026 17:09:01","22.39","4.11","13.91","On","12.930248,77.739436",
"08-Sep-2026 17:09:11","3.13","4.11","13.93","On","12.930161,77.739834",
"08-Sep-2026 17:09:31","6.84","4.11","13.93","On","12.929943,77.740392",
"08-Sep-2026 17:09:41","12.98","4.11","13.93","On","12.92967,77.740291",
"08-Sep-2026 17:09:41","24.21","4.11","13.91","On","12.929479,77.740142",
"08-Sep-2026 17:10:11","9.44","4.11","13.93","On","12.928627,77.739494",
"08-Sep-2026 17:10:41","37.69","4.11","13.93","On","12.927457,77.738649",
"08-Sep-2026 17:11:11","18.74","4.11","13.91","On","12.925294,77.737274",
"08-Sep-2026 17:11:16","21.21","4.11","13.91","On","12.925191,77.737128",
"08-Sep-2026 17:11:21","11.96","4.11","13.91","On","12.925171,77.736968",
"08-Sep-2026 17:11:41","42.29","4.11","13.91","On","12.925451,77.735586",
"08-Sep-2026 17:12:11","28.42","4.11","13.93","On","12.925959,77.732276",
